# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
4193.72549666234,19.9146995544434,1.34098505973816,1.34098505973816,0
4194.69124882566,22.2628002166748,1.34769058227539,1.34769058227539,0
4195.65722338726,22.1602993011475,1.31699967384338,1.31699967384338,0
4196.62342039831,20.4346008300781,1.28809523582459,1.28809523582459,0
4197.58983991008,22.2630996704102,1.30484163761139,1.30484163761139,0
4198.55648197377,22.8913993835449,1.32244479656219,1.32244479656219,0
4199.52334664066,18.2721996307373,1.29373145103455,1.29373145103455,0
4200.490433962,17.3563003540039,1.28857958316803,1.28857958316803,0
4201.45774398905,18.2273998260498,1.34196877479553,1.34196877479553,0
4202.42527677313,17.8803997039795,1.28511250019073,1.28511250019073,0
4203.3930323655,19.2176990509033,1.27976787090302,1.27976787090302,0
4204.36101081749,20.7112007141113,1.31240713596344,1.31240713596344,0
4205.32921218042,21.317699432373,1.33657360076904,1.33657360076904,0
4206.29763650563,21.9143009185791,1.31352531909943,1.31352531909943,0
4207.26628384444,21.4825000762939,1.31927037239075,1.31927037239075,0
4208.23515424823,20.9438991546631,1.31855225563049,1.31855225563049,0
4209.20424776836,22.6196994781494,1.33267605304718,1.33267605304718,0
4210.17356445622,20.9934997558594,1.32092905044556,1.32092905044556,0
4211.14310436318,20.6401996612549,1.31554353237152,1.31554353237152,0
4212.11286754067,22.6979007720947,1.37456822395325,1.37456822395325,0
4213.08285404009,23.5354995727539,1.36582708358765,1.36582708358765,0
4214.05306391287,22.3822002410889,1.36103808879852,1.36103808879852,0
4215.02349721044,23.0265007019043,1.344282746315,1.344282746315,0
4215.99415398428,21.8320007324219,1.32047522068024,1.32047522068024,0
4216.96503428582,18.8463001251221,1.29326617717743,1.29326617717743,0
4217.93613816656,20.0806999206543,1.29158759117126,1.29158759117126,0
4218.90746567798,21.2339992523193,1.31276226043701,1.31276226043701,0
4219.87901687157,19.8225994110107,1.288046002388,1.288046002388,0
4220.85079179885,22.3850994110107,1.33428966999054,1.33428966999054,0
4221.82279051133,23.0417995452881,1.38329923152924,1.38329923152924,0
4222.79501306057,23.4563999176025,1.41043019294739,1.41043019294739,0
4223.76745949809,22.6387996673584,1.37421894073486,1.37421894073486,0
4224.74012987546,20.4374008178711,1.31969428062439,1.31969428062439,0
4225.71302424424,18.6756000518799,1.26234650611877,1.26234650611877,0
4226.68614265603,18.0648002624512,1.19032263755798,1.19032263755798,0
4227.65948516241,12.2369003295898,1.09164977073669,1.09164977073669,0
4228.63305181499,11.7026996612549,1.04941785335541,1.04941785335541,0
4229.60684266539,12.5527000427246,1.10925710201263,1.10925710201263,0
4230.58085776524,15.6894998550415,1.18968069553375,1.18968069553375,0
4231.55509716616,20.3068008422852,1.28832292556763,1.28832292556763,0
4232.52956091984,18.6247997283936,1.26670801639557,1.26670801639557,0
4233.50424907791,22.8446998596191,1.32822155952454,1.32822155952454,0
4234.47916169208,22.2266998291016,1.33850824832916,1.33850824832916,0
4235.45429881401,19.986400604248,1.33218514919281,1.33218514919281,0
4236.42966049541,20.1933994293213,1.35471510887146,1.35471510887146,0
4237.405246788,21.0673999786377,1.33277189731598,1.33277189731598,0
4238.3810577435,18.0386009216309,1.23966574668884,1.23966574668884,0
4239.35709341365,16.6714000701904,1.19754636287689,1.19754636287689,0
4240.33335385019,20.6938991546631,1.28142690658569,1.28142690658569,0
4241.30983910489,21.1760005950928,1.48025071620941,1.48025071620941,0
4242.28654922951,20.0751991271973,1.50321054458618,1.50321054458618,0
4243.26348427584,21.5944004058838,1.52683138847351,1.52683138847351,0
4244.24064429568,18.8766002655029,1.25498175621033,1.25498175621033,0
4245.21802934084,20.582799911499,1.28368747234344,1.28368747234344,0
4246.19563946313,25.8449001312256,1.58216559886932,1.58216559886932,0
4247.17347471439,23.6700992584229,1.55809557437897,1.55809557437897,0
4248.15153514646,20.1541004180908,1.31062054634094,1.31062054634094,0
4249.1298208112,23.5240993499756,1.32296657562256,1.32296657562256,0
4250.10833176047,21.3265991210938,1.27508294582367,1.27508294582367,0
4251.08706804616,18.3195991516113,1.22475373744965,1.22475373744965,0
4252.06602972015,17.713399887085,1.22346973419189,1.22346973419189,0
